signal_close_ts,entry_ts,exit_1h_ts,exit_4h_ts,signal_return_1h,signal_return_4h,control_return_1h,control_return_4h,matched_alpha_1h,matched_alpha_4h,short_net_1h,short_net_4h,cost_return,half,vol_regime,funding_age_bucket,control_entry_timestamps
1767330000000,1767330000000,1767333600000,1767344400000,0.001419944692138353,0.0061301427845816825,0.0010067562293050835,0.007616761996534471,-0.0016131884628332693,0.00028661921195278855,-0.0026199446921383526,-0.007330142784581682,0.0012,H1_2026_FIRST,LOW,4,1767301200000;1767358800000;1767470400000;1767499200000;1767560400000
1767517200000,1767517200000,1767520800000,1767531600000,0.0009646791647914821,-0.0025107937853200424,0.0015634304558399092,0.0010278345952107414,-0.0006012487089515728,0.0023386283805307837,-0.0021646791647914818,0.0013107937853200425,0.0012,H1_2026_FIRST,LOW,1,1767488400000;1767549600000;1767574800000;1767603600000;1767348000000
1767945600000,1767945600000,1767949200000,1767960000000,-0.00796806600222022,-0.0034615007259229946,-0.0002978695147782595,0.00010325393926782222,0.006470196487441961,0.0023647546651908167,0.00676806600222022,0.002261500725922995,0.0012,H1_2026_FIRST,MID,0,1768035600000;1767686400000;1768204800000;1767661200000;1768233600000
1767970800000,1767970800000,1767974400000,1767985200000,0.01139820243322931,0.007342080352277902,0.0007821544766240862,0.0004912020413969209,-0.011816047956605224,-0.008050878310880982,-0.01259820243322931,-0.008542080352277902,0.0012,H1_2026_FIRST,MID,7,1767913200000;1768258800000;1767654000000;1768291200000;1767625200000
1768053600000,1768053600000,1768057200000,1768068000000,-0.0007625172559529991,-0.001198399044811893,0.0035591360201614685,0.002197022719995356,0.0031216532761144684,0.002195421764807249,-0.00043748274404700077,-1.6009551881068177e-06,0.0012,H1_2026_FIRST,MID,5,1768251600000;1768312800000;1768341600000;1767704400000;1767679200000
1768078800000,1768078800000,1768082400000,1768093200000,-0.0007621025193562669,0.0006748473033721947,-0.0008727908692641062,-0.00038036421078790905,-0.0013106883499078392,-0.0022552115141601034,-0.00043789748064373296,-0.0018748473033721946,0.0012,H1_2026_FIRST,LOW,4,1768107600000;1768136400000;1768161600000;1768194000000;1767614400000
1768734000000,1768734000000,1768737600000,1768748400000,-6.93715255113414e-05,-0.002333405858110038,0.00078460990840854,-0.001593029645234245,-0.00034601856608011846,-0.0004596237871242069,-0.0011306284744886585,0.0011334058581100382,0.0012,H1_2026_FIRST,LOW,3,1768762800000;1768680000000;1768190400000;1768158000000;1768132800000
1769068800000,1769068800000,1769072400000,1769083200000,0.0011796472420315673,0.0015271920385506732,0.0020601407804674344,-0.00043980633590656737,-0.00031950646156413283,-0.0031669983744572403,-0.002379647242031567,-0.002727192038550673,0.0012,H1_2026_FIRST,HIGH,7,1769040000000;1769612400000;1768406400000;1768374000000;1770073200000
1769248800000,1769248800000,1769252400000,1769263200000,0.0002534401429088451,-0.0027442989923800454,-0.0028779026538762855,-0.002841514943768164,-0.00433134279678513,-0.0012972159513881187,-0.001453440142908845,0.0015442989923800455,0.0012,H1_2026_FIRST,MID,1,1769191200000;1769479200000;1769504400000;1769533200000;1769562000000
1769263200000,1769263200000,1769266800000,1769277600000,0.0009628119482723019,0.0005362638642123496,0.0005740775448736191,0.0024741010707642007,-0.0015887344033986826,0.0007378372065518512,-0.0021628119482723016,-0.0017362638642123495,0.0012,H1_2026_FIRST,MID,5,1769205600000;1769461200000;1769493600000;1769518800000;1769547600000
